county_name,precinct_name,candidate_ballot_name,yes_votes,district
Barton,ABSENTEE,Ann Kelley,264,127
Barton,BARTON CITY/LEROY/OZARK,Ann Kelley,452,127
Barton,CENTRAL/NASHVILLE/NORTHFORK,Ann Kelley,492,127
Barton,CITY 1 & 2,Ann Kelley,662,127
Barton,CITY 3 & 4,Ann Kelley,566,127
Barton,DOYLESPORT/MILFORD/NEWPORT/UNION,Ann Kelley,415,127
Barton,GOLDEN CITY,Ann Kelley,327,127
Barton,LAMAR/RICHLAND,Ann Kelley,758,127
Barton,SOUTHWEST,Ann Kelley,150,127
Barton,ABSENTEE,Teri Hanna,65,127
Barton,BARTON CITY/LEROY/OZARK,Teri Hanna,99,127
Barton,CENTRAL/NASHVILLE/NORTHFORK,Teri Hanna,84,127
Barton,CITY 1 & 2,Teri Hanna,135,127
Barton,CITY 3 & 4,Teri Hanna,151,127
Barton,DOYLESPORT/MILFORD/NEWPORT/UNION,Teri Hanna,70,127
Barton,GOLDEN CITY,Teri Hanna,71,127
Barton,LAMAR/RICHLAND,Teri Hanna,123,127
Barton,SOUTHWEST,Teri Hanna,75,127
Bates,ADRIAN SOUTH (2),Jack Bondon,60,56
Bates,DREXEL (10),Jack Bondon,131,56
Bates,ABSENTEE,Jack Bondon,9,56
Bates,ADRIAN NORTH (1),Rodger L. Reedy,145,57
Bates,ADRIAN SOUTH (2),Rodger L. Reedy,63,57
Bates,BALLARD (5),Rodger L. Reedy,37,57
Bates,ABSENTEE,Rodger L. Reedy,9,57
Bates,ADRIAN NORTH (1),Joan Shores,56,57
Bates,ADRIAN SOUTH (2),Joan Shores,30,57
Bates,BALLARD (5),Joan Shores,15,57
Bates,ABSENTEE,Joan Shores,7,57
Bates,ADRIAN NORTH (1),Patricia Pike,313,126
Bates,ADRIAN SOUTH (2),Patricia Pike,420,126
Bates,AMORET (3),Patricia Pike,161,126
Bates,AMSTERDAM (4),Patricia Pike,199,126
Bates,BALLARD (5),Patricia Pike,229,126
Bates,BUTLER 1 (6),Patricia Pike,375,126
Bates,BUTLER 2 (7),Patricia Pike,353,126
Bates,BUTLER 3 (8),Patricia Pike,509,126
Bates,BUTLER 4 (9),Patricia Pike,361,126
Bates,DREXEL (10),Patricia Pike,56,126
Bates,HUDSON (11),Patricia Pike,171,126
Bates,HUME (12),Patricia Pike,210,126
Bates,RICH HILL NORTH (13),Patricia Pike,247,126
Bates,RICH HILL SOUTH (14),Patricia Pike,301,126
Bates,ROCKVILLE (15),Patricia Pike,65,126
Bates,ABSENTEE,Patricia Pike,362,126
Bates,ADRIAN NORTH (1),Jim Hogan,209,126
Bates,ADRIAN SOUTH (2),Jim Hogan,307,126
Bates,AMORET (3),Jim Hogan,46,126
Bates,AMSTERDAM (4),Jim Hogan,82,126
Bates,BALLARD (5),Jim Hogan,63,126
Bates,BUTLER 1 (6),Jim Hogan,127,126
Bates,BUTLER 2 (7),Jim Hogan,125,126
Bates,BUTLER 3 (8),Jim Hogan,156,126
Bates,BUTLER 4 (9),Jim Hogan,118,126
Bates,DREXEL (10),Jim Hogan,10,126
Bates,HUDSON (11),Jim Hogan,34,126
Bates,HUME (12),Jim Hogan,36,126
Bates,RICH HILL NORTH (13),Jim Hogan,59,126
Bates,RICH HILL SOUTH (14),Jim Hogan,87,126
Bates,ROCKVILLE (15),Jim Hogan,16,126
Bates,ABSENTEE,Jim Hogan,123,126
Bates,ADRIAN NORTH (1),Stephen Biles,5,126
Bates,ADRIAN SOUTH (2),Stephen Biles,11,126
Bates,AMORET (3),Stephen Biles,3,126
Bates,AMSTERDAM (4),Stephen Biles,7,126
Bates,BALLARD (5),Stephen Biles,4,126
Bates,BUTLER 1 (6),Stephen Biles,11,126
Bates,BUTLER 2 (7),Stephen Biles,11,126
Bates,BUTLER 3 (8),Stephen Biles,12,126
Bates,BUTLER 4 (9),Stephen Biles,10,126
Bates,DREXEL (10),Stephen Biles,4,126
Bates,HUDSON (11),Stephen Biles,4,126
Bates,HUME (12),Stephen Biles,11,126
Bates,RICH HILL NORTH (13),Stephen Biles,1,126
Bates,RICH HILL SOUTH (14),Stephen Biles,9,126
Bates,ROCKVILLE (15),Stephen Biles,3,126
Bates,ABSENTEE,Stephen Biles,6,126
Benton,COLE,Rodger L. Reedy,243,57
Benton,WILLIAMS,Rodger L. Reedy,1130,57
Benton,LINDSEY,Rodger L. Reedy,562,57
Benton,WHITE,Rodger L. Reedy,726,57
Benton,FRISTOE/ALEXANDER,Rodger L. Reedy,0,57
Benton,ABSENTEE,Rodger L. Reedy,305,57
Benton,COLE,Joan Shores,47,57
Benton,WILLIAMS,Joan Shores,179,57
Benton,LINDSEY,Joan Shores,199,57
Benton,WHITE,Joan Shores,119,57
Benton,FRISTOE/ALEXANDER,Joan Shores,0,57
Benton,ABSENTEE,Joan Shores,69,57
Benton,COLE,Warren D. Love,248,125
Benton,LINDSEY,Warren D. Love,522,125
Benton,UNION,Warren D. Love,405,125
Benton,TOM,Warren D. Love,561,125
Benton,FRISTOE/ALEXANDER,Warren D. Love,728,125
Benton,ABSENTEE,Warren D. Love,446,125
Benton,COLE,Chase Crawford,137,125
Benton,LINDSEY,Chase Crawford,387,125
Benton,UNION,Chase Crawford,161,125
Benton,TOM,Chase Crawford,368,125
Benton,FRISTOE/ALEXANDER,Chase Crawford,464,125
Benton,ABSENTEE,Chase Crawford,285,125
Bollinger,PATTON,Rick Francis,566,145
Bollinger,SEDGEWICKVILLE,Rick Francis,426,145
Bollinger,HURRICANE,Rick Francis,245,145
Bollinger,SCOPUS,Rick Francis,302,145
Bollinger,MARBLE HILL #2,Rick Francis,1425,145
Bollinger,SITZE,Rick Francis,230,145
Bollinger,ZALMA,Rick Francis,355,145
Bollinger,ABSENTEE,Rick Francis,223,145
Bollinger,DRUM,Rick Francis,284,145
Bollinger,PATTON,Ronald G. Pember,98,145
Bollinger,SEDGEWICKVILLE,Ronald G. Pember,71,145
Bollinger,HURRICANE,Ronald G. Pember,45,145
Bollinger,SCOPUS,Ronald G. Pember,56,145
Bollinger,MARBLE HILL #2,Ronald G. Pember,211,145
Bollinger,SITZE,Ronald G. Pember,43,145
Bollinger,ZALMA,Ronald G. Pember,66,145
Bollinger,ABSENTEE,Ronald G. Pember,54,145
Bollinger,DRUM,Ronald G. Pember,34,145
Boone,3A & 3G & 3L,Cheri Toalson Reisch,347,44
Boone,3B,Cheri Toalson Reisch,155,44
Boone,3C,Cheri Toalson Reisch,287,44
Boone,3E & 3H,Cheri Toalson Reisch,405,44
Boone,3F,Cheri Toalson Reisch,455,44
Boone,3I &3J,Cheri Toalson Reisch,405,44
Boone,3M & 6J,Cheri Toalson Reisch,136,44
Boone,3N & 41,Cheri Toalson Reisch,423,44
Boone,8,Cheri Toalson Reisch,735,44
Boone,09 & 11,Cheri Toalson Reisch,845,44
Boone,10 & 12,Cheri Toalson Reisch,679,44
Boone,15 & 40,Cheri Toalson Reisch,45,44
Boone,16,Cheri Toalson Reisch,698,44
Boone,17,Cheri Toalson Reisch,596,44
Boone,23,Cheri Toalson Reisch,287,44
